Ürün Başlığı,Fiyat,Ürün Puanı,Özellik: Ekran,Özellik: İşlemci,Ürün Adı,Ürün Linki,Marka,Güncel Fiyat,Fiyat (Sayısal),Değerlendirme,Satıcı
HP 250 G10 i5-1334U 8GB RAM 256Gb SSD 15.6'' FHD W11H Uma Siyah Notebook B2Nc9Es,Fiyat bulunamadı,Alınamadı,15.6,intel,250 G10 i5-1334U 8GB RAM,https://www.trendyol.com/hp/250-g10-i5-1334u-8gb-ram-256gb-ssd-15-6-fhd-w11h-uma-siyah-notebook-b2nc9es-p-828070532?boutiqueId=61&merchantId=951897,HP,14.649 TL,0.0,Değerlendirilmemiş,Satıcı ID: 951897
Samsung Galaxy Tab A9 64 Gb Graphite ( Türkiye Garantili),Fiyat bulunamadı,Alınamadı,,,Galaxy Tab A9 64 Gb,https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-turkiye-garantili-p-767487787?boutiqueId=681310&merchantId=968,Samsung,3.749 TL,0.0,Değerlendirilmemiş,Trendyol
"LENOVO Tab M9 MediaTek Helio G80 4GB/64GB 9"" HD Tablet + Kılıf + Ekran Koruyucu ZAC30155TR",Fiyat bulunamadı,Alınamadı,,mediatek,Tab M9 MediaTek Helio,https://www.trendyol.com/lenovo/tab-m9-mediatek-helio-g80-4gb-64gb-9-hd-tablet-kilif-ekran-koruyucu-zac30155tr-p-736120816?boutiqueId=61&merchantId=413566,LENOVO,3.789 TL,0.0,Değerlendirilmemiş,Satıcı ID: 413566
"Apple 11"" iPad Wi-Fi 128GB - Pembe",Fiyat bulunamadı,Alınamadı,,,"11"" iPad Wi-Fi 128GB -",https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-pembe-p-904312421?boutiqueId=681310&merchantId=968,Apple,15.449 TL,0.0,Değerlendirilmemiş,Trendyol
"LENOVO Ideapad Slim3 Intel Celeron-N100 4GB RAM 128GB SSD Intel UHD Graphics 15.6"" FHD Win11 Gri Laptop",Fiyat bulunamadı,Alınamadı,15.6,intel,Ideapad Slim3 Intel,https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765?boutiqueId=61&merchantId=1103474,LENOVO,8.099 TL,0.0,Değerlendirilmemiş,Satıcı ID: 1103474
Samsung Galaxy Tab A9 64 GB Gümüş Tablet (Samsung Türkiye Garantili),Fiyat bulunamadı,Alınamadı,,,Galaxy Tab A9 64 GB,https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-gumus-tablet-samsung-turkiye-garantili-p-767487785?boutiqueId=681310&merchantId=968,Samsung,3.749 TL,0.0,Değerlendirilmemiş,Trendyol
Honor Pad X9 4gb 128gb Wifi 11.5'' Uzay Gri Tablet,Fiyat bulunamadı,Alınamadı,11.5,,Pad X9 4gb 128gb Wifi,https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=107638,Honor,5.199 TL,0.0,Değerlendirilmemiş,Satıcı ID: 107638
"Apple 11"" iPad Wi-Fi 128GB - Gümüş",Fiyat bulunamadı,Alınamadı,,,"11"" iPad Wi-Fi 128GB -",https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-gumus-p-904298041?boutiqueId=681310&merchantId=968,Apple,15.349 TL,0.0,Değerlendirilmemiş,Trendyol
LENOVO Tab M11 2.0Ghz 8Gb 128Gb 11inch FullHd -Android Tablet,Fiyat bulunamadı,Alınamadı,,,Tab M11 2.0Ghz 8Gb,https://www.trendyol.com/lenovo/tab-m11-2-0ghz-8gb-128gb-11inch-fullhd-android-tablet-p-869513650?boutiqueId=61&merchantId=588741,LENOVO,7.199 TL,0.0,Değerlendirilmemiş,Satıcı ID: 588741
"LENOVO IdeaPad 1 Ryzen 5-5500U 8GB 512GB SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82R400QDTX",Fiyat bulunamadı,Alınamadı,15.6,ryzen,IdeaPad 1 Ryzen,https://www.trendyol.com/lenovo/ideapad-1-ryzen-5-5500u-8gb-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82r400qdtx-p-860978209?boutiqueId=61&merchantId=1103474,LENOVO,11.549 TL,0.0,Değerlendirilmemiş,Satıcı ID: 1103474
"Honor Pad 9 8GB 256GB Wifi 12"" Gri Tablet + Bluetooth Klavye",Fiyat bulunamadı,Alınamadı,,,Pad 9 8GB 256GB Wifi,https://www.trendyol.com/honor/pad-9-8gb-256gb-wifi-12-gri-tablet-bluetooth-klavye-p-806165466?boutiqueId=61&merchantId=107638,Honor,10.699 TL,0.0,Değerlendirilmemiş,Satıcı ID: 107638
"ACER Aspire3 Intel Core i5-1235U 8GB 512GB SSD 15,6"" Full HD IPS Windows11 Gümüş Laptop NX.K6TEY.002",Fiyat bulunamadı,Alınamadı,"15,6",intel,Aspire3 Intel Core,https://www.trendyol.com/acer/aspire3-intel-core-i5-1235u-8gb-512gb-ssd-15-6-full-hd-ips-windows11-gumus-laptop-nx-k6tey-002-p-867246556?boutiqueId=681310&merchantId=968,ACER,12.999 TL,0.0,Değerlendirilmemiş,Trendyol
Samsung Galaxy Tab A9 Wi-fi Sm-x110 8 Gb 128 Gb 8.7,Fiyat bulunamadı,Alınamadı,,,Galaxy Tab A9 Wi-fi,https://www.trendyol.com/samsung/galaxy-tab-a9-wi-fi-sm-x110-8-gb-128-gb-8-7-p-784566844?boutiqueId=681310&merchantId=968,Samsung,4.559 TL,0.0,Değerlendirilmemiş,Trendyol
Samsung Galaxy Tab A9 Plus 8gb 128gb Sıfır 24 Ay Garantili Siyah,Fiyat bulunamadı,Alınamadı,,,Galaxy Tab A9 Plus,https://www.trendyol.com/samsung/galaxy-tab-a9-plus-8gb-128gb-sifir-24-ay-garantili-siyah-p-784575940?boutiqueId=61&merchantId=275331,Samsung,6.950 TL,0.0,Değerlendirilmemiş,Satıcı ID: 275331
"ACER Aspire Lite Intel Core i3-N300 8GB 512GB SSD Freedos 14"" WUXGA IPS Dizüstü Bilgisayar NX.KS9EY.002",Fiyat bulunamadı,Alınamadı,,intel,Aspire Lite Intel Core,https://www.trendyol.com/acer/aspire-lite-intel-core-i3-n300-8gb-512gb-ssd-freedos-14-wuxga-ips-dizustu-bilgisayar-nx-ks9ey-002-p-931169589?boutiqueId=681310&merchantId=968,ACER,10.499 TL,0.0,Değerlendirilmemiş,Trendyol
Vorcom S12 2GB/32GB 10.1” 1280*800 HD IPS Ekran Tablet Kılıf+Ekran Koruyucu Hediyeli,Fiyat bulunamadı,Alınamadı,,,S12 2GB/32GB 10.1”,https://www.trendyol.com/vorcom/s12-2gb-32gb-10-1-1280-800-hd-ips-ekran-tablet-kilif-ekran-koruyucu-hediyeli-p-652417531?boutiqueId=61&merchantId=519473,Vorcom,2.599 TL,0.0,Değerlendirilmemiş,Satıcı ID: 519473
ASUS Vivobook 15 X1504VA-NJ1422 i5-1335U 8GB 512GB SSD 15.6'' FreeDos,Fiyat bulunamadı,Alınamadı,15.6,intel,Vivobook 15,https://www.trendyol.com/asus/vivobook-15-x1504va-nj1422-i5-1335u-8gb-512gb-ssd-15-6-freedos-p-893572872?boutiqueId=61&merchantId=106198,ASUS,15.599 TL,0.0,Değerlendirilmemiş,Satıcı ID: 106198
Xiaomi Redmi Pad Se 8/256 Gb Tablet Gri,Fiyat bulunamadı,Alınamadı,,,Redmi Pad Se 8/256 Gb,https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-p-770228964?boutiqueId=61&merchantId=588741,Xiaomi,7.245 TL,0.0,Değerlendirilmemiş,Satıcı ID: 588741
"Apple 11"" iPad Air Wi-Fi 256GB - Mavi",Fiyat bulunamadı,Alınamadı,,,"11"" iPad Air Wi-Fi",https://www.trendyol.com/apple/11-ipad-air-wi-fi-256gb-mavi-p-904298057?boutiqueId=681310&merchantId=968,Apple,29.999 TL,0.0,Değerlendirilmemiş,Trendyol
"CASPER Nirvana C370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop",Fiyat bulunamadı,Alınamadı,15.6,intel,Nirvana,https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-p-358003688?boutiqueId=61&merchantId=114258,CASPER,8.999 TL,0.0,Değerlendirilmemiş,Satıcı ID: 114258
Samsung Galaxy Tab A9 64 GB Navy (Samsung Türkiye Garantili),Fiyat bulunamadı,Alınamadı,,,Galaxy Tab A9 64 GB,https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-navy-samsung-turkiye-garantili-p-767487788?boutiqueId=681310&merchantId=968,Samsung,3.749 TL,0.0,Değerlendirilmemiş,Trendyol
"ASUS Vivobook 15 Intel® Core™ I5-1335u 16gb Ram 512gb Ssd W11 Pro 15,6"" Fhd",Fiyat bulunamadı,Alınamadı,"15,6",intel,Vivobook 15 Intel® Core™,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1335u-16gb-ram-512gb-ssd-w11-pro-15-6-fhd-p-856346347?boutiqueId=61&merchantId=153128,ASUS,"16.658,14 TL",0.0,Değerlendirilmemiş,Satıcı ID: 153128
"Apple 11"" iPad Wi-Fi 128GB - Mavi",Fiyat bulunamadı,Alınamadı,,,"11"" iPad Wi-Fi 128GB -",https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-mavi-p-904298051?boutiqueId=681310&merchantId=968,Apple,15.349 TL,0.0,Değerlendirilmemiş,Trendyol
"Samsung Galaxy Tab S9 Fe Plus Sm-x610 Gri 128 Gb 12.4"" Tablet",Fiyat bulunamadı,Alınamadı,12.4,,Galaxy Tab S9 Fe Plus,https://www.trendyol.com/samsung/galaxy-tab-s9-fe-plus-sm-x610-gri-128-gb-12-4-tablet-p-767487796?boutiqueId=61&merchantId=275331,Samsung,14.890 TL,0.0,Değerlendirilmemiş,Satıcı ID: 275331
